trajectory_id,MMSI,origin_port,destination_port,start_time,end_time,duration_hours,distance_km,avg_speed_kmh,excluded_aberrant_segments,Length,Width,Draft
209136000.0_9.0_mars_avril_2023,209136000.0,ALTAMIRA,ALTAMIRA,2023-04-04 19:00:00,2023-04-05 04:30:00,9.5,0.6651577763732764,0.07001660803929226,0,182.0,28.0,10.9
209182000.0_2.0_mars_avril_2023,209182000.0,TORONTO,HAMILTON,2023-04-12 00:00:00,2023-04-16 18:50:00,114.83333333333333,72.90203169621662,0.6348507840018864,0,185.0,23.0,10.4
209182000.0_5.0_mars_avril_2023,209182000.0,HAMILTON,HAMILTON,2023-04-19 13:50:00,2023-04-20 17:50:00,28.0,0.3199649837527514,0.01142732084831255,0,185.0,23.0,10.4
209182000_1_juil_aout,209182000.0,COTEAU LANDING,SAULT STE MARIE,2024-08-23 02:40:00,2024-08-31 23:50:00,213.16666666666666,1457.00380215161,6.835045201649461,0,185.0,23.0,10.4
209182000_3_mai_juin_2023,209182000.0,TUXPAN,TUXPAN,2023-05-06 19:00:00,2023-05-07 13:20:00,18.333333333333332,16.93017858464711,0.9234642864352969,0,185.0,23.0,10.4
209182000_4_mai_juin_2023,209182000.0,TUXPAN,TUXPAN,2023-05-08 00:00:00,2023-05-08 07:00:00,7.0,0.04527973605881809,0.006468533722688298,0,185.0,23.0,10.4
209182000_5_mai_juin_2023,209182000.0,TUXPAN,TUXPAN,2023-05-10 10:10:00,2023-05-10 10:20:00,0.16666666666666666,0.004299890178120448,0.025799341068722687,0,185.0,23.0,10.4
209182000_6_mai_juin_2023,209182000.0,TUXPAN,TUXPAN,2023-05-10 23:40:00,2023-05-11 01:20:00,1.6666666666666667,0.01927042745104794,0.011562256470628763,0,185.0,23.0,10.4
209182000_7_mai_juin_2023,209182000.0,TUXPAN,TUXPAN,2023-05-12 05:10:00,2023-05-12 05:30:00,0.3333333333333333,0.003307722551920448,0.009923167655761345,0,185.0,23.0,10.4
209218000_3_janv_fev_2023,209218000.0,VERACRUZ,VERACRUZ,2023-02-16 00:30:00,2023-02-16 04:50:00,4.333333333333333,0.00491869384041643,0.0011350831939422532,0,171.0,27.0,10.4
209251000_2_nov_dec,209251000.0,ANDRES (ANDRES LGN TERMINAL),ANDRES (ANDRES LGN TERMINAL),2024-11-25 19:30:00,2024-11-26 01:00:00,5.5,29.18806066609824,5.306920121108771,0,336.0,45.0,11.7
209251000_3_nov_dec,209251000.0,ANDRES (ANDRES LGN TERMINAL),ANDRES (ANDRES LGN TERMINAL),2024-11-26 09:10:00,2024-11-26 13:00:00,3.8333333333333335,5.674470171685115,1.4802965665265517,0,336.0,45.0,11.7
209251000_5_nov_dec,209251000.0,ANDRES (ANDRES LGN TERMINAL),ANDRES (ANDRES LGN TERMINAL),2024-11-27 06:40:00,2024-11-27 08:50:00,2.1666666666666665,2.529123865810656,1.1672879380664567,0,336.0,45.0,11.7
209251000_6_nov_dec,209251000.0,ANDRES (ANDRES LGN TERMINAL),ANDRES (ANDRES LGN TERMINAL),2024-11-27 19:30:00,2024-11-28 01:20:00,5.833333333333333,27.28966649339538,4.6782285417249225,0,336.0,45.0,11.7
209251000_7_nov_dec,209251000.0,ANDRES (ANDRES LGN TERMINAL),ANDRES (ANDRES LGN TERMINAL),2024-11-30 17:30:00,2024-11-30 17:40:00,0.16666666666666666,0.32292316304297664,1.9375389782578598,0,336.0,45.0,11.7
209264000_1_juil_aout,209264000.0,FREEPORT,FREEPORT,2024-07-01 00:10:00,2024-07-01 00:20:00,0.16666666666666666,4.81421438747937,28.885286324876223,0,85.0,20.0,5.1
209264000_2_juil_aout,209264000.0,FREEPORT,FREEPORT,2024-07-01 12:20:00,2024-07-01 16:00:00,3.6666666666666665,0.02739722790493464,0.007471971246800357,0,85.0,20.0,5.1
209264000_3_juil_aout,209264000.0,FREEPORT,FREEPORT,2024-07-01 23:10:00,2024-07-02 09:50:00,10.666666666666666,0.10582361789744435,0.009920964177885409,0,85.0,20.0,5.1
