port_cluster,centroid_lat,centroid_lon,n_stay_points,avg_duration_hours,matched_port_name,distance_to_port_km,is_validated_port
114.0,29.12608557778782,-90.20798871804288,13692.0,27.00279968838251,,23.450879474058638,False
6.0,29.87856022453718,-90.11462635957146,8133.0,52.54826017459732,GRETNA,6.271193942705358,True
7.0,49.26606953779424,-123.0803120273448,6588.0,46.24215745800445,VANCOUVER,3.262063719637027,True
38.0,33.74326594076051,-118.2246644054917,5126.0,48.89621537261022,LOS ANGELES,2.459267194158803,True
25.0,40.66897141888995,-74.11147585614749,5000.0,31.35773333333333,BAYONNE,1.8672915780261314,True
28.0,26.0802075593912,-80.11425195562964,4557.0,20.891302757662206,PORT EVERGLADES,2.213994285859965,True
3.0,36.9003008509531,-76.34618067183057,3942.0,40.02211229494334,NORFOLK,6.939567036088533,True
0.0,29.703640670491,-95.12796075287416,3714.0,55.21679231735774,NORSWORTHY,7.700514263033716,True
23.0,39.245494280348304,-76.55103605517618,3199.0,39.0687193914765,BALTIMORE,3.64356691152448,True
13.0,29.24668633210152,-94.64874338679026,3141.0,40.03581661891118,,15.196849877066851,False
11.0,32.1198122740349,-81.12475657371301,2565.0,30.03599740090968,SAVANNAH,5.628331302551092,True
37.0,37.791203964145645,-122.33197974414716,2400.0,50.88569444444444,OAKLAND,2.833855524928762,True
56.0,25.78231748035776,-80.19500690566252,2101.0,36.59915913057274,MIAMI,1.1742961129286735,True
21.0,26.457381929616584,-78.80883017806588,2084.0,10.378438899552144,FREEPORT,7.063733221624854,True
24.0,32.848534420195456,-79.9213533454851,2056.0,42.58560311284047,CHARLESTON,7.263281897898212,True
29.0,18.44402560631865,-66.09632536170915,2018.0,19.31747604889329,SAN JUAN,3.307835637308617,True
10.0,31.96255470984122,-80.41204695479725,1836.0,31.75889615105301,,51.68413823404372,False
2.0,36.786300968664285,-75.50944209173774,1830.0,21.08551912568306,,69.86106992205086,False
1.0,30.05087638167086,-90.81958763697226,1789.0,51.452021613564376,CONVENT,4.027477423162844,True
168.0,43.08668981275556,-79.21804705057315,1785.0,13.05452847805789,WELLAND,9.983086803527906,True
53.0,45.62610504284397,-122.72916038347684,1756.0,56.83086560364465,VANCOUVER,3.652948276377034,True
17.0,49.1030174069568,-123.81058007239706,1713.0,73.03317766102354,HARMAC,4.426472724352054,True
102.0,47.26988873576388,-122.4073474040786,1523.0,36.96946815495732,TACOMA,1.6520145459707785,True
35.0,30.38082845564352,-81.5707275130015,1520.0,33.3547149122807,,10.428961065437404,False
48.0,39.9000831647004,-75.14574353685163,1458.0,28.15043438500229,GLOUCESTER,1.058719011355132,True
66.0,18.33025366783075,-64.94664246000052,1425.0,16.485614035087718,CHARLOTTE AMALIE,2.6066156499374884,True
33.0,30.68753464988016,-88.03655452254294,1424.0,49.329705056179776,MOBILE,7.67503991183827,True
170.0,46.73620747285764,-92.0661567718627,1320.0,22.961868686868684,SUPERIOR,0.3219833992833384,True
172.0,42.29218494460487,-83.0976260994757,1294.0,17.379185986604842,ROUGE RIVER,1.8498897531485554,True
99.0,26.769058274409943,-80.04907951366123,1277.0,22.958496476115897,PALM BEACH,0.2811632197250115,True
55.0,48.70709072621504,-123.4125168064011,1238.0,38.310581583198704,SIDNEY,6.70005228294016,True
67.0,18.41774473578344,-64.59486142415584,1134.0,10.903880070546736,ROAD HARBOR,2.303599958896069,True
26.0,47.59612043806828,-122.35712427325242,1025.0,60.88178861788617,SEATTLE,1.8353304051865755,True
46.0,46.0573974740003,-122.90473354980882,1017.0,62.76138970829236,RAINIER,3.6310537008676445,True
171.0,43.27688420742193,-79.81765033484814,1014.0,35.54043392504931,HAMILTON,3.974669756418099,True
20.0,18.34441376198741,-69.63660321200055,993.0,6.833501174890904,ANDRES (ANDRES LGN TERMINAL),9.89338755627422,True
54.0,37.21558329554304,-76.11521565442543,992.0,107.70648521505376,,10.410006553944795,False
